,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
575,479,2023-02-06 16:21:11.435082+00:00,,t,"T1L, sensory",sensory,72905731229181385,648518346500505269,[ 25597 112281   2711]
576,481,2023-02-06 16:21:11.436788+00:00,,t,"T1L, sensory",sensory,72342438215328533,648518346476657526,[  8717 101723   3740]
577,483,2023-02-06 16:21:11.438493+00:00,,t,"T1L, sensory",sensory,72342438215365972,648518346494933426,[  9939 101191   3740]
578,482,2023-02-06 16:21:11.437646+00:00,,t,"T1L, sensory",sensory,72342438215375566,648518346507233352,[  9781 100378   3740]
579,466,2023-02-06 16:21:11.423232+00:00,,t,"T1L, MN",MN,72904906595745994,648518346478935892,[25819 87882  2781]
580,457,2023-02-06 16:21:11.414805+00:00,,t,"T1L, MN",MN,72764168704816459,648518346520685366,[20639 87041  2022]
581,449,2023-02-06 16:21:11.407753+00:00,,t,"T1L, MN",MN,72482831435438088,648518346477726990,[13605 91741  2535]
582,380,2023-02-06 16:21:11.347197+00:00,,t,fragment,fragment,72553750270965068,648518346486986465,[ 15437 108101   3153]
583,447,2023-02-06 16:21:11.405875+00:00,,t,"T1L, MN",MN,72413355507567200,648518346490738941,[ 11144 117336   1478]
584,469,2023-02-06 16:21:11.425779+00:00,,t,"T1L, MN",MN,72975343925097073,648518346478125293,[27079 88744  2479]
585,467,2023-02-06 16:21:11.424080+00:00,,t,"T1L, MN",MN,72904974778192622,648518346500725685,[26120 88188  1693]
586,471,2023-02-06 16:21:11.427474+00:00,,t,"T1L, MN",MN,72975206486264775,648518346514306270,[28080 85768  2516]
587,446,2023-02-06 16:21:11.405025+00:00,,t,"T1L, MN",MN,72413355373425035,648518346477140752,[ 10464 118400   1262]
588,451,2023-02-06 16:21:11.409417+00:00,,t,"T1L, MN",MN,72553818050935184,648518346502617767,[ 15480 109312   1367]
589,455,2023-02-06 16:21:11.413076+00:00,,t,"T1L, MN",MN,72693868948514333,648518346477240264,[20124 89508  2559]
590,448,2023-02-06 16:21:11.406821+00:00,,t,"T1L, MN",MN,72482762716040225,648518346479055568,[13344 89432  2556]
591,454,2023-02-06 16:21:11.412185+00:00,,t,"T1L, MN",MN,72623500204416838,648518346498314906,[16870 88111  2568]
592,480,2023-02-06 16:21:11.435932+00:00,,t,"T1L, sensory",sensory,72272069471158663,648518346494038560,[  7886 100597   3740]
593,465,2023-02-06 16:21:11.422405+00:00,,t,"T1L, MN",MN,72904837406552690,648518346497891062,[25490 84658  1913]
