,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
20,11,2022-06-24 16:41:50.574570+00:00,,t,T1L,hook_ext,72342438215374258,648518346501288024,[  9398 101463   3740]
21,74,2022-11-04 19:03:14.945062+00:00,,t,T1L,claw_ext,72342438215376690,648518346472297010,[  9133 101370   3740]
22,14,2022-06-24 16:41:50.577059+00:00,,t,T1L,claw_ext,72342438215368429,648518346514361543,[  9102 100889   3740]
23,15,2022-06-24 16:41:50.577887+00:00,,t,T1L,claw_ext,72342438215370907,648518346490596093,[  9249 100528   3740]
24,18,2022-06-24 16:41:50.580378+00:00,,t,T1L,claw_ext,72342438215396112,648518346481759933,[  9637 100936   3740]
25,6,2022-06-24 16:41:50.569926+00:00,,t,T1L,hook_flx,72342438215393919,648518346514448583,[  9978 101088   3740]
26,85,2022-11-18 23:19:58.446297+00:00,,t,T1L,hook_ext,72342438215258853,648518346477034696,[  9416 100832   3740]
27,31,2022-06-24 16:41:50.591530+00:00,,t,T1L,club,72342369495808899,648518346484528131,[  8433 100129   3740]
28,7,2022-06-24 16:41:50.570815+00:00,,t,T1L,hook_flx,72342438215374178,648518346509569667,[  9866 101316   3740]
29,35,2022-06-24 16:41:50.594902+00:00,,t,T1L,club,72342438215365504,648518346522179866,[ 10082 100542   3740]
30,34,2022-06-24 16:41:50.594053+00:00,,t,T1L,club,72342369495807166,648518346499385438,[ 9799 99868  3740]
31,21,2022-06-24 16:41:50.582942+00:00,,t,T1L,claw_flx,72342438215374221,648518346500681907,[  8578 101441   3740]
32,90,2022-11-18 23:24:22.198777+00:00,,t,T1L,maybeclub,72342438215391039,648518346477963245,[  9743 100462   3740]
33,24,2022-06-24 16:41:50.585693+00:00,,t,T1L,club,72272069471158663,648518346494038560,[  7886 100597   3740]
34,23,2022-06-24 16:41:50.584862+00:00,,t,T1L,club,72342369495735103,648518346495414351,[ 9990 99643  3740]
35,86,2022-11-18 23:19:58.464792+00:00,,t,T1L,hook_ext,72342438215391687,648518346494071307,[  9338 101501   3740]
36,87,2022-11-18 23:19:58.488015+00:00,,t,T1L,hook_flx,72342438215371936,648518346490237960,[  9506 101874   3740]
37,70,2022-11-04 19:03:14.858594+00:00,,t,T1L,claw_flx,72342438215366046,648518346483783343,[  8863 101316   3740]
38,89,2022-11-18 23:24:22.197932+00:00,,t,T1L,maybeclub,72412806959540471,648518346499840723,[ 10272 101353   3740]
39,16,2022-06-24 16:41:50.578717+00:00,,t,T1L,claw_flx,72342438215374227,648518346486653999,[  8878 101446   3740]
40,39,2022-10-12 22:47:01.910791+00:00,,t,T1L,claw_ext,72342438215374360,648518346487912272,[  9283 101589   3740]
41,40,2022-10-12 22:47:01.927387+00:00,,t,T1L,claw_ext,72342438215391726,648518346508752447,[  9053 101576   3740]
