,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
2730,11409475,2022-11-17 14:28:59.843347+00:00,,t,27,72835156460948554,648518346501581144,72835156460943772,648518346486753761,[ 23217 106075   3015],[ 23239 106055   3015]
2731,11409489,2022-11-17 14:28:59.843347+00:00,,t,24,72835156460955452,648518346501581144,72835156460962313,648518346486753761,[ 23247 105981   3024],[ 23269 105959   3025]
2732,11409402,2022-11-17 14:28:59.843347+00:00,,t,26,72835156460957949,648518346501581144,72835156460957963,648518346476657526,[ 23003 106391   3023],[ 22989 106421   3023]
2733,2076089,2022-11-17 14:28:59.843347+00:00,,t,51,72553681618443792,648518346501581144,72553681618446700,648518346477963245,[ 14503 104469   3235],[ 14465 104503   3236]
2734,2076148,2022-11-17 14:28:59.843347+00:00,,t,71,72553681618429213,648518346501581144,72553681618451713,648518346514448583,[ 14537 104481   3234],[ 14551 104513   3236]
2735,2076049,2022-11-17 14:28:59.843347+00:00,,t,22,72553681618425633,648518346501581144,72553681618421458,648518346507233352,[ 14353 104575   3227],[ 14349 104615   3227]
2736,2076100,2022-11-17 14:28:59.843347+00:00,,t,28,72553681618227608,648518346501581144,72553681618380357,648518346494933426,[ 14475 104821   3213],[ 14477 104859   3215]
2737,2076090,2022-11-17 14:28:59.843347+00:00,,t,15,72553681618226235,648518346501581144,72553681618407807,648518346476657526,[ 14461 104799   3215],[ 14461 104793   3218]
2738,2076111,2022-11-17 14:28:59.843347+00:00,,t,36,72553681618441283,648518346501581144,72553681618446712,648518346476657526,[ 14509 104493   3234],[ 14501 104535   3235]
2739,2581542,2022-11-17 14:28:59.843347+00:00,,t,52,72483450179156382,648518346501581144,72483450179159919,648518346481857725,[ 13933 109013   3055],[ 13937 109015   3057]
2740,2581491,2022-11-17 14:28:59.843347+00:00,,t,43,72483450179121748,648518346501581144,72483450179142490,648518346481857725,[ 13873 109177   3044],[ 13887 109203   3045]
2741,13626778,2022-11-17 14:28:59.843347+00:00,,t,31,72553750270908479,648518346501581144,72553750270904266,648518346494071307,[ 14391 106757   3126],[ 14415 106783   3127]
2742,20263085,2022-11-17 14:28:59.843347+00:00,,t,30,72553681618486936,648518346501581144,72553681618486915,648518346501288024,[ 16273 104587   3253],[ 16291 104559   3254]
2743,19047989,2022-11-17 14:28:59.843347+00:00,,t,55,72975962534727742,648518346501581144,72975962534727722,648518346480666625,[ 27159 106935   2784],[ 27189 106933   2784]
2744,19047990,2022-11-17 14:28:59.843347+00:00,,t,47,72975962534715075,648518346501581144,72975962534715177,648518346481856445,[ 27155 106979   2779],[ 27191 106985   2779]
2745,32989751,2022-11-17 14:28:59.843347+00:00,,t,40,72694487759308165,648518346501581144,72694487759308194,648518346476657526,[ 18497 106965   3157],[ 18495 106937   3157]
2746,13626901,2022-11-17 14:28:59.843347+00:00,,t,17,72553750270916097,648518346501581144,72553750270948345,648518346509569667,[ 14593 106683   3135],[ 14619 106701   3137]
2747,44288375,2022-11-17 14:28:59.843347+00:00,,t,15,72342781141855439,648518346501581144,72342781141862848,648518346501288024,[  9747 111495   2541],[  9729 111523   2543]
2748,41116543,2022-11-17 14:28:59.843347+00:00,,t,22,72342712288238314,648518346501581144,72342712288238369,648518346480125925,[  9419 110333   2303],[  9397 110361   2304]
2749,41116563,2022-11-17 14:28:59.843347+00:00,,t,24,72342712288141839,648518346501581144,72342712288141942,648518346480125925,[  9465 110069   2262],[  9425 110081   2263]
2750,32989875,2022-11-17 14:28:59.843347+00:00,,t,13,72694487759278533,648518346501581144,72694487759288913,648518346486753761,[ 18637 106877   3148],[ 18647 106845   3148]
2751,27389653,2022-11-17 14:28:59.843347+00:00,,t,28,72553818923441615,648518346501581144,72553818923408195,648518346494933426,[ 15433 109081   3061],[ 15451 109107   3061]
2752,32989900,2022-11-17 14:28:59.843347+00:00,,t,33,72694487759255198,648518346501581144,72694487759286359,648518346486753761,[ 18717 106903   3142],[ 18723 106871   3143]
2753,2076199,2022-11-17 14:28:59.843347+00:00,,t,35,72553681618310031,648518346501581144,72553681618225142,648518346501288024,[ 14591 104787   3210],[ 14623 104805   3211]
2754,2076221,2022-11-17 14:28:59.843347+00:00,,t,34,72553681618310031,648518346501581144,72553681618421482,648518346514448583,[ 14631 104675   3218],[ 14667 104687   3219]
2755,41156364,2022-11-17 14:28:59.843347+00:00,,t,26,72413081367883193,648518346501581144,72413081367866845,648518346494933170,[ 11931 110119   2904],[ 11925 110137   2906]
2756,30158127,2022-11-17 14:28:59.843347+00:00,,t,14,72835156460870285,648518346501581144,72835156460874983,648518346476657526,[ 23837 106321   2981],[ 23871 106347   2983]
2757,30158154,2022-11-17 14:28:59.843347+00:00,,t,27,72835156460857669,648518346501581144,72835156460853583,648518346489572037,[ 23983 105923   2970],[ 23987 105929   2969]
2758,30158179,2022-11-17 14:28:59.843347+00:00,,t,12,72835156460917281,648518346501581144,72835156460941140,648518346496729980,[ 24051 105827   3007],[ 24075 105853   3010]
2759,30158180,2022-11-17 14:28:59.843347+00:00,,t,65,72835156460860349,648518346501581144,72835156460858968,648518346476657526,[ 24049 105873   2975],[ 24077 105859   2974]
2760,30158113,2022-11-17 14:28:59.843347+00:00,,t,49,72835156460882019,648518346501581144,72835156460876773,648518346476657526,[ 23793 106441   2987],[ 23799 106451   2986]
2761,41156365,2022-11-17 14:28:59.843347+00:00,,t,21,72413081367805411,648518346501581144,72413081367800295,648518346481856445,[ 11955 109897   2883],[ 11925 109885   2883]
2762,41156377,2022-11-17 14:28:59.843347+00:00,,t,12,72413081367883193,648518346501581144,72413081367878151,648518346494933170,[ 11915 110019   2914],[ 11961 110003   2915]
2763,41156369,2022-11-17 14:28:59.843347+00:00,,t,74,72413081367848014,648518346501581144,72413081367833932,648518346481857725,[ 11955 109809   2895],[ 11935 109783   2895]
2764,41156349,2022-11-17 14:28:59.843347+00:00,,t,48,72413081367776606,648518346501581144,72413081367779138,648518346501288024,[ 11923 110025   2872],[ 11889 110005   2872]
2765,41156114,2022-11-17 14:28:59.843347+00:00,,t,32,72413081367836732,648518346501581144,72413081367820476,648518346494933170,[ 11525 110333   2889],[ 11541 110365   2889]
2766,41156342,2022-11-17 14:28:59.843347+00:00,,t,86,72413081367843560,648518346501581144,72413081367843518,648518346481857725,[ 11911 109895   2899],[ 11879 109885   2899]
2767,41116688,2022-11-17 14:28:59.843347+00:00,,t,18,72342712288231378,648518346501581144,72342712288219926,648518346480666625,[  9551 110327   2299],[  9565 110355   2299]
