,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
73,257,2023-08-28 08:01:34.219017+00:00,,t,"T1L, sensory",club,74033143635938732,648518346474234477,[ 58509 156248   4093]
74,258,2023-08-28 08:01:34.239048+00:00,,t,"T1L, sensory",club,72342369495807166,648518346499385438,[ 9799 99868  3740]
75,259,2023-08-28 08:01:34.259882+00:00,,t,"T1L, sensory",club,72342438215371708,648518346517527332,[ 10089 101581   3740]
76,260,2023-08-28 08:01:34.281192+00:00,,t,"T1L, sensory",hair_plate,72482831636754478,648518346499992716,[12942 91984  2917]
77,261,2023-08-28 08:01:34.301672+00:00,,t,"T1L, sensory",hook,72342438215393919,648518346514448583,[  9978 101088   3740]
78,262,2023-08-28 08:01:34.320443+00:00,,t,"T1L, sensory",hook,72342438215374258,648518346501288024,[  9398 101463   3740]
79,263,2023-08-28 08:01:34.339773+00:00,,t,"T1L, sensory",hook,72342438215328533,648518346476657526,[  8717 101723   3740]
80,264,2023-08-28 08:01:34.358620+00:00,,t,"T1L, sensory",hook,72342438215365972,648518346494933426,[  9939 101191   3740]
81,265,2023-08-28 08:01:34.380543+00:00,,t,"T1L, sensory",hook,72342369495812353,648518346480125925,[  9767 100331   3740]
82,266,2023-08-28 08:01:34.399964+00:00,,t,"T1L, sensory",hook,72342438215368410,648518346494933170,[  9496 100936   3740]
83,267,2023-08-28 08:01:34.420751+00:00,,t,"T1L, sensory",hook,72342438215378040,648518346481857725,[  9409 100356   3740]
84,268,2023-08-28 08:01:34.440855+00:00,,t,"T1L, sensory",hook,72342438215371520,648518346496671612,[  9452 101264   3740]
85,269,2023-08-28 08:01:34.461772+00:00,,t,"T1L, sensory",hook,72342438215371936,648518346490237960,[  9506 101874   3740]
86,270,2023-08-28 08:01:34.481417+00:00,,t,descending,descending,73255237682778583,648518346474404290,[36557 41200  1198]
