,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
24855,23008709,2022-11-17 14:28:59.843347+00:00,,t,50,72553681618394600,648518346501288024,72624050362603059,648518346482964966,[ 16383 104575   3222],[ 16423 104563   3222]
24856,23008697,2022-11-17 14:28:59.843347+00:00,,t,25,72553681618407571,648518346501288024,72624050362582499,648518346514670791,[ 16355 104587   3220],[ 16385 104579   3220]
24859,40554208,2022-11-17 14:28:59.843347+00:00,,t,20,72623706563975122,648518346484687181,72623706563956417,648518346507389983,[18047 96187  2862],[18087 96173  2863]
24866,23008783,2022-11-17 14:28:59.843347+00:00,,t,20,72624050362668320,648518346480125925,72624050362666098,648518346493196828,[ 16665 105015   3242],[ 16647 104995   3244]
24870,23008798,2022-11-17 14:28:59.843347+00:00,,t,18,72624050362666122,648518346480125925,72624050362672870,648518346492416127,[ 16677 105013   3242],[ 16677 104989   3243]
24872,23008826,2022-11-17 14:28:59.843347+00:00,,t,33,72624050362654247,648518346480125925,72624050362661396,648518346492416127,[ 16779 105045   3244],[ 16765 105011   3244]
24886,23008847,2022-11-17 14:28:59.843347+00:00,,t,35,72624050362666067,648518346480125925,72624050362658926,648518346493196828,[ 16781 104989   3236],[ 16813 104975   3236]
24891,24452353,2022-11-17 14:28:59.843347+00:00,,t,25,72342643769847520,648518346517348645,72342643769852718,648518346507389983,[  9105 108317   2595],[  9139 108323   2596]
24892,20120922,2022-11-17 14:28:59.843347+00:00,,t,17,72272206238960884,648518346496671612,72272206239037949,648518346507389983,[  8161 105167   2451],[  8161 105135   2453]
24893,36973284,2022-11-17 14:28:59.843347+00:00,,t,60,72413218672565066,648518346500641203,72413218672554906,648518346507389983,[ 11857 112941   2639],[ 11885 112921   2639]
24894,23008855,2022-11-17 14:28:59.843347+00:00,,t,17,72624050362788064,648518346531363354,72624050362782908,648518346507433247,[ 16857 105427   3294],[ 16835 105415   3295]
24896,23008789,2022-11-17 14:28:59.843347+00:00,,t,14,72624050362691076,648518346480666625,72624050362672870,648518346492416127,[ 16647 104945   3251],[ 16659 104981   3252]
24898,23008827,2022-11-17 14:28:59.843347+00:00,,t,20,72624050362674967,648518346480125925,72624050362672865,648518346480843521,[ 16779 105047   3246],[ 16767 105011   3247]
24906,37125699,2022-11-17 14:28:59.843347+00:00,,t,44,72413218605539205,648518346497833063,72413218605546760,648518346507389983,[ 12171 113061   2549],[ 12161 113089   2551]
24907,23008832,2022-11-17 14:28:59.843347+00:00,,t,12,72624050362767938,648518346531363354,72624050362772702,648518346500413244,[ 16797 105467   3288],[ 16773 105447   3289]
24909,23008838,2022-11-17 14:28:59.843347+00:00,,t,39,72624050362772711,648518346531363354,72624050362765384,648518346500413244,[ 16817 105347   3288],[ 16789 105375   3288]
24911,8238577,2022-11-17 14:28:59.843347+00:00,,t,23,72694006521385462,648518346483783343,72694006521469759,648518346507389983,[20099 93707  2707],[20085 93675  2708]
24912,23008748,2022-11-17 14:28:59.843347+00:00,,t,47,72624050362697982,648518346480666625,72624050362690991,648518346480843521,[ 16561 104775   3255],[ 16579 104749   3256]
24914,43130522,2022-11-17 14:28:59.843347+00:00,,t,28,72905662510057460,648518346496671612,72905662510055048,648518346507389983,[ 24619 109959   2796],[ 24599 109933   2797]
24919,23008786,2022-11-17 14:28:59.843347+00:00,,t,36,72624050362686540,648518346480666625,72624050362672844,648518346480843521,[ 16649 104895   3248],[ 16659 104929   3248]
24921,4791760,2022-11-17 14:28:59.843347+00:00,,t,52,72413150020156519,648518346486653999,72413150020163617,648518346507389983,[ 12189 112549   2740],[ 12191 112543   2742]
24923,36721176,2022-11-17 14:28:59.843347+00:00,,t,18,72905731162466987,648518346514448583,72905731162466985,648518346504230862,[ 25315 112351   2681],[ 25293 112337   2682]
24929,23008246,2022-11-17 14:28:59.843347+00:00,,t,43,73398931048198467,648518346488045079,73398931048183596,648518346489007453,[ 39843 130491   3002],[ 39865 130499   3001]
24930,23008068,2022-11-17 14:28:59.843347+00:00,,t,40,73398931048335945,648518346493225392,73398931048362719,648518346496360533,[ 39181 130665   3064],[ 39185 130661   3066]
24933,23008148,2022-11-17 14:28:59.843347+00:00,,t,47,73398931048302821,648518346493225392,73398931048312264,648518346496360533,[ 39475 130499   3050],[ 39503 130485   3050]
24934,23008235,2022-11-17 14:28:59.843347+00:00,,t,14,73398931048198467,648518346488045079,73398931048178691,648518346465071989,[ 39837 130497   3003],[ 39831 130527   3004]
24935,23008237,2022-11-17 14:28:59.843347+00:00,,t,16,73398931048190875,648518346488045079,73398931048190899,648518346517652772,[ 39831 130503   3001],[ 39835 130539   3002]
24937,23008254,2022-11-17 14:28:59.843347+00:00,,t,27,73398931048219872,648518346488045079,73398931048208052,648518346517652772,[ 39865 130521   3008],[ 39901 130545   3008]
24938,23008253,2022-11-17 14:28:59.843347+00:00,,t,70,73398931048215052,648518346488045079,73398931048198462,648518346465071989,[ 39869 130493   3005],[ 39903 130487   3006]
24939,23008154,2022-11-17 14:28:59.843347+00:00,,t,23,73398931048302821,648518346493225392,73398931048307411,648518346484428839,[ 39475 130509   3050],[ 39511 130509   3049]
24941,18185043,2022-11-17 14:28:59.843347+00:00,,t,24,73046400065531430,648518346499840723,73046400065528960,648518346475537024,[ 29231 109489   2912],[ 29257 109517   2913]
24942,23008255,2022-11-17 14:28:59.843347+00:00,,t,17,73398931048327236,648518346488045079,73398931048333874,648518346517652772,[ 39903 131067   3058],[ 39903 131031   3059]
24943,14461953,2022-11-17 14:28:59.843347+00:00,,t,12,72694006454545745,648518346508752447,72694006454519862,648518346497891062,[20365 93037  2630],[20331 93039  2630]
24945,23970749,2022-11-17 14:28:59.843347+00:00,,t,16,72553406673678910,648518346508752447,72553406673673110,648518346497891062,[14487 98287  3194],[14509 98303  3195]
24946,22326724,2022-11-17 14:28:59.843347+00:00,,t,13,72483450111974133,648518346487912272,72483450111948053,648518346497891062,[ 13583 109659   2883],[ 13571 109659   2881]
24947,7464048,2022-11-17 14:28:59.843347+00:00,,t,33,73539737323305445,648518346518565462,73539737323294805,648518346517652772,[ 43555 132269   3199],[ 43527 132299   3200]
24948,7464049,2022-11-17 14:28:59.843347+00:00,,t,54,73539737323299633,648518346518565462,73539737323294805,648518346517652772,[ 43557 132227   3206],[ 43531 132265   3206]
24949,7464021,2022-11-17 14:28:59.843347+00:00,,t,46,73539737323344581,648518346518565462,73539737323345068,648518346487908887,[ 43445 132125   3206],[ 43461 132151   3205]
24950,7464024,2022-11-17 14:28:59.843347+00:00,,t,20,73539737323330830,648518346518565462,73539737323498815,648518346514235435,[ 43503 132205   3205],[ 43473 132223   3205]
24951,7464040,2022-11-17 14:28:59.843347+00:00,,t,52,73539737323283212,648518346518565462,73539737323345651,648518346481078874,[ 43543 132231   3203],[ 43513 132243   3204]
24952,7463767,2022-11-17 14:28:59.843347+00:00,,t,13,73469368579006541,648518346475974370,73539737323201533,648518346489569132,[ 42987 132527   3161],[ 43009 132567   3162]
24953,7463779,2022-11-17 14:28:59.843347+00:00,,t,29,73539737323334259,648518346475974370,73539737323350304,648518346486547121,[ 43039 132865   3203],[ 43023 132887   3204]
24955,7463782,2022-11-17 14:28:59.843347+00:00,,t,26,73469368579006541,648518346475974370,73539737323237483,648518346489007453,[ 43005 132509   3162],[ 43027 132523   3164]
24956,7463783,2022-11-17 14:28:59.843347+00:00,,t,33,73469368579018082,648518346475974370,73539737323201514,648518346483323812,[ 43005 132523   3161],[ 43027 132541   3162]
24957,7463773,2022-11-17 14:28:59.843347+00:00,,t,17,73539737323226427,648518346488045079,73539737323237220,648518346517652772,[ 43031 132285   3172],[ 43019 132257   3174]
24958,7463776,2022-11-17 14:28:59.843347+00:00,,t,50,73539737323223830,648518346488045079,73539737323208890,648518346517652772,[ 43063 132281   3167],[ 43033 132275   3166]
24962,7464059,2022-11-17 14:28:59.843347+00:00,,t,15,73539737323319675,648518346518565462,73539737323294554,648518346514235435,[ 43541 132115   3206],[ 43547 132117   3204]
